# PAE Semantic Playground — Czech Mini Vocabulary v0.1
# Deliberately small teaching dataset; not a copy of MorfFlex.
# Columns: wordform	lemma	category	role
pes	pes	NOUN	entity
psa	pes	NOUN	entity
psovi	pes	NOUN	entity
psem	pes	NOUN	entity
psi	pes	NOUN	entity
psů	pes	NOUN	entity
kočka	kočka	NOUN	entity
kočky	kočka	NOUN	entity
člověk	člověk	NOUN	entity
lidé	člověk	NOUN	entity
jídlo	jídlo	NOUN	entity
ostružina	ostružina	NOUN	entity
ostružiny	ostružina	NOUN	entity
ostružin	ostružina	NOUN	entity
voda	voda	NOUN	entity
jíst	jíst	VERB	action
jí	jíst	VERB	action
jedl	jíst	VERB	action
jedí	jíst	VERB	action
mít	mít	VERB	action
má	mít	VERB	action
mají	mít	VERB	action
vidět	vidět	VERB	action
vidí	vidět	VERB	action
být	být	VERB	state
je	být	VERB	state
jsou	být	VERB	state
chtít	chtít	VERB	mental_state
chce	chtít	VERB	mental_state
může	moci	VERB	modality
mohou	moci	VERB	modality
mohl	moci	VERB	modality
mohla	moci	VERB	modality
musí	muset	VERB	modality
musel	muset	VERB	modality
nesmí	nesmět	VERB	modality
jestli	jestli	SCONJ	question_marker
kdo	kdo	PRON	question
co	co	PRON	question
kde	kde	ADV	question
kdy	kdy	ADV	question
kolik	kolik	DET	quantity
jak	jak	ADV	question
já	já	PRON	person_reference
mi	já	PRON	person_reference
mě	já	PRON	person_reference
on	on	PRON	person_reference
ona	ona	PRON	person_reference
je	on	PRON	object_reference
taky	taky	ADV	addition
ano	ano	ADV	answer
ne	ne	PART	answer
nebo	nebo	CCONJ	logic
ale	ale	CCONJ	contrast
a	a	CCONJ	addition
